Report Part explanationsFIN:,Report Part explanationsFIN:
1. Asiapaperit ja tunnistus,1. Case papers and identification
2. Jarrujärjestelmä ja iskunvaimennus, 2. Brake system and shock absoption
3. Ympäristöpäästöt,3. Environmental emissions
"4. Valaistus, pesulaitteet, tuulilasi, äänimerkki","4. Lighting, washing equipment, windshield, horn"
"5. Jousitus, akselisto, pohjalevy","5. Suspension, axle set, base plate"
6. Renkaat,6. Tyres
7. Moottori ja apulaitteet,7. Engine and auxiliary equipment
"8. Sisätilat, hallintalaitteet","8. Interiors, controls"
9. Korin yleiskunto,9. General condition of the body
10. Voimansiirto,10. Transmission
11. Lyhyt koeajo,11. Short test drive
12. Ajoakku,12. Driving battery
13. OBD,13. OBD
"14. Valaistus, pesulaitteet, tuulilasi, äänimerkki",14 Fault lights on teh instrumental panel
